poiID,lat,long,pokemon,tempovisita,qoeid
1,-16.6830791,-49.251833,241,109,3
2,-16.6882486,-49.2645996,305,109,15
3,-16.6793898,-49.2673786,792,120,37
4,-16.6888826,-49.2647711,836,91,29
5,-16.6800339,-49.2666472,793,117,18
6,-16.684717,-49.2642712,856,132,47
7,-16.6818673,-49.2666061,854,151,45
8,-16.6809377,-49.2669129,244,135,41
9,-16.7081502,-49.2642297,311,75,39
10,-16.7067783,-49.2642573,833,180,5
11,-16.7039572,-49.2412146,514,129,21
12,-16.7055241,-49.2390841,612,155,9
13,-16.6853559,-49.2587394,316,89,44
14,-16.68264,-49.2576734,597,180,1
15,-16.6845078,-49.2635873,277,179,26
16,-16.6892477,-49.2613633,887,151,21
17,-16.6988495,-49.2683846,766,157,33
18,-16.6991592,-49.2688002,872,129,31
19,-16.6911217,-49.2654232,101,128,24
20,-16.6905951,-49.2759306,232,171,15
21,-16.691341,-49.2768858,697,179,16
22,-16.7042003,-49.2748642,605,155,31
23,-16.6978778,-49.2670613,841,117,27
24,-16.6853936,-49.2666141,917,66,30
25,-16.6980714,-49.2673342,76,93,36
26,-16.6891911,-49.2724177,837,175,47
27,-16.7079397,-49.2542911,732,90,19
28,-16.6869409,-49.2824835,247,61,7
29,-16.7032131,-49.2656218,587,65,5
30,-16.7074282,-49.2704321,142,172,27
31,-16.7071479,-49.2707059,289,67,1
32,-16.7071496,-49.270129,612,158,36
33,-16.7048762,-49.2677554,418,129,36
34,-16.705738,-49.2730423,829,87,22
35,-16.7060779,-49.272879,973,103,1
36,-16.7037491,-49.2655127,358,89,28
37,-16.7070716,-49.2706609,330,102,29
38,-16.7076377,-49.2730969,131,102,10
39,-16.7078007,-49.2731663,201,145,8
40,-16.6951973,-49.2654385,719,73,47
41,-16.6952154,-49.2653426,698,128,32
42,-16.6954425,-49.2655722,652,115,16
43,-16.6997037,-49.2428931,776,68,9
44,-16.70785,-49.2730835,591,164,4
45,-16.6952162,-49.2661456,465,177,45
46,-16.7079014,-49.2727275,676,82,31
47,-16.6953169,-49.2655583,803,123,43
48,-16.7058558,-49.2383074,452,82,24
49,-16.6952746,-49.2652455,237,67,36
50,-16.7081437,-49.2729357,825,149,19
51,-16.7076141,-49.2732625,218,150,44
52,-16.6903397,-49.257094,576,76,46
53,-16.6952323,-49.2655495,168,75,48
54,-16.7066823,-49.2376371,967,92,47
55,-16.6989479,-49.2479778,702,119,3
56,-16.7028981,-49.2415611,355,84,30
57,-16.704015,-49.2418413,681,68,50
58,-16.6723646,-49.282291,513,98,37
59,-16.6723161,-49.2696939,424,140,45
60,-16.6708421,-49.2382012,277,82,46
61,-16.6701776,-49.2410671,389,70,4
62,-16.7046151,-49.2665933,817,136,28
63,-16.70581,-49.2660861,71,72,50
64,-16.7024392,-49.2661303,297,154,38
65,-16.696018,-49.27131,769,137,29
66,-16.6969365,-49.2697038,118,155,29
67,-16.6887498,-49.2645133,187,151,45
68,-16.7057562,-49.2662733,426,151,24
69,-16.6927781,-49.2817901,1023,176,8
70,-16.6777966,-49.2718353,1078,75,33
71,-16.6934938,-49.2354131,787,177,50
72,-16.680708,-49.2675064,495,177,12
73,-16.6814177,-49.2650162,1043,102,43
74,-16.6930131,-49.2359311,787,138,7
75,-16.7019188,-49.2724715,684,147,25
76,-16.6747611,-49.2569596,512,60,5
77,-16.6944357,-49.26781,384,159,25
78,-16.6975005,-49.2642726,101,108,43
79,-16.6994245,-49.2680222,668,111,12
80,-16.6954745,-49.2719616,994,170,28
81,-16.6749854,-49.2574864,984,78,8
82,-16.6873564,-49.2669708,169,132,32
83,-16.6874609,-49.2669581,596,86,6
84,-16.6877788,-49.2801531,76,127,20
85,-16.6794955,-49.2519365,863,107,38
86,-16.6752884,-49.2367804,873,160,7
87,-16.7017765,-49.2600013,1006,150,1
88,-16.6725875,-49.2489623,561,78,16
89,-16.6921987,-49.2624734,575,124,22
90,-16.6826036,-49.2524259,513,117,26
91,-16.7005242,-49.2644861,962,74,25
92,-16.70627,-49.2641368,229,172,47
93,-16.6781359,-49.2407148,645,141,22
94,-16.6855878,-49.2639335,628,152,25
95,-16.709959,-49.2766119,395,112,34
96,-16.6763482,-49.2423215,28,177,27
97,-16.6768179,-49.2445046,393,106,36
98,-16.6771281,-49.2433313,987,116,49
99,-16.7042322,-49.2626073,421,180,23
100,-16.6708076,-49.2316274,516,138,1
101,-16.6792757,-49.277904,636,72,46
102,-16.6984984,-49.2693572,177,143,9
103,-16.6975807,-49.2646577,890,131,47
104,-16.6741698,-49.2838436,854,84,37
105,-16.6703805,-49.2322689,601,61,43
106,-16.6859429,-49.2790557,22,130,24
107,-16.6746691,-49.2476498,100,91,49
108,-16.6763738,-49.2456383,1025,82,17
109,-16.6758786,-49.2461103,139,78,10
110,-16.6900665,-49.2556432,485,101,42
111,-16.7085334,-49.2327594,25,76,32
112,-16.7081718,-49.2332286,308,69,3
113,-16.7032087,-49.2417499,400,113,3
114,-16.6748809,-49.2581448,258,68,41
115,-16.6985858,-49.2692054,76,113,40
116,-16.6992783,-49.2587659,474,165,19
117,-16.6882576,-49.2632963,825,116,26
118,-16.698796,-49.2581064,751,116,6
119,-16.6888865,-49.2742097,379,121,39
120,-16.6890264,-49.2744151,846,96,32
121,-16.6889608,-49.2738154,71,142,12
122,-16.6882256,-49.2735788,819,113,35
123,-16.6875041,-49.2739113,671,106,25
124,-16.687365,-49.2740573,575,135,27
125,-16.6870749,-49.2745218,115,68,50
126,-16.6872567,-49.2744583,931,67,18
127,-16.6880132,-49.2729894,71,99,43
128,-16.6888446,-49.2751897,207,164,9
129,-16.6875375,-49.2724004,92,156,39
130,-16.6968584,-49.2700148,527,161,23
131,-16.6972135,-49.2527773,759,79,37
132,-16.7033953,-49.273946,127,118,14
133,-16.7023626,-49.2378399,258,109,36
134,-16.6726778,-49.2848571,432,92,21
135,-16.6865911,-49.2757371,1055,163,7
136,-16.6798569,-49.266742,739,169,1
137,-16.6980823,-49.2508753,784,171,6
138,-16.6763047,-49.2591281,686,178,26
139,-16.690722,-49.258059,883,156,48
140,-16.6897236,-49.275428,238,116,19
141,-16.6896646,-49.2753309,270,166,24
142,-16.6886244,-49.2639921,652,169,43
143,-16.677791,-49.2431814,972,100,31
144,-16.694219,-49.2606479,126,156,37
145,-16.6898528,-49.2715982,910,78,46
146,-16.6803149,-49.2845413,115,112,34
147,-16.6956921,-49.2737715,700,140,25
148,-16.6779026,-49.2439024,666,163,12
149,-16.6806954,-49.267361,275,156,43
150,-16.6756771,-49.2575747,1044,123,35
151,-16.6823116,-49.2616747,448,153,15
152,-16.6730702,-49.2571719,70,98,9
153,-16.6811912,-49.2592787,704,144,26
