pkid,valor,Pokemon
1,357,Bulbasaur
2,449,Ivysaur
3,577,Venusaur
4,677,Venusaur Mega Venusaur
5,327,Charmander
6,435,Charmeleon
7,582,Charizard
8,672,Charizard Mega Charizard X
9,717,Charizard Mega Charizard Y
10,342,Squirtle
11,434,Wartortle
12,566,Blastoise 
13,689,Blastoise Mega Blastoise
14,238,Caterpie
15,262,Metapod
16,459,Butterfree
17,233,Weedle
18,249,Kakuna
19,462,Beedrill
20,614,Beedrill Mega Beedrill
21,278,Pidgey
22,382,Pidgeotto
23,515,Pidgeot
24,650,Pidgeot Mega Pidgeot
25,275,Rattata
26,275,Rattata Alolan Rattata
27,446,Raticate
28,470,Raticate Alolan Raticate
29,292,Spearow
30,478,Fearow
31,318,Ekans
32,475,Arbok
33,319,Pikachu
34,319,Pikachu Pikachu Libre
35,319,Pikachu Flying
36,319,Pikachu Pop Star
37,319,Pikachu Rock Star
38,319,Pikachu PhD
39,499,Raichu
40,510,Raichu Alolan Raichu
41,383,Sandshrew
42,391,Sandshrew Alolan Sandshrew
43,538,Sandslash 
44,553,Sandslash Alolan Sandslash
45,321,Nidoran fem♀
46,409,Nidorina
47,560,Nidoqueen
48,311,Nidoran macho♂
49,404,Nidorino
50,551,Nidoking
51,387,Clefairy
52,556,Clefable
53,321,Vulpix
54,321,Vulpix Alolan Vulpix
55,536,Ninetales
56,540,Ninetales Alolan Ninetales
57,372,Jigglypuff
58,541,Wigglytuff 
59,276,Zubat
60,492,Golbat
61,371,Oddish
62,444,Gloom
63,550,Vileplume
64,331,Paras
65,466,Parasect
66,355,Venonat
67,494,Venomoth
68,254,Diglett
69,256,Diglett Alolan Diglett
70,412,Dugtrio
71,454,Dugtrio Alolan Dugtrio
72,290,Meowth
73,297,Meowth Alolan Meowth
74,344,Meowth Galarian Meowth
75,449,Persian
76,457,Persian Alolan Persian
77,354,Psyduck
78,543,Golduck
79,350,Mankey
80,508,Primeape
81,375,Growlithe 
82,389,Growlithe Hisuian Growlithe
83,600,Arcanine
84,613,Arcanine Hisuian Arcanine
85,303,Poliwag
86,416,Poliwhirl
87,573,Poliwrath
88,370,Abra
89,469,Kadabra
90,584,Alakazam
91,720,Alakazam Mega Alakazam
92,391,Machop
93,492,Machoke
94,600,Machamp
95,337,Bellsprout
96,427,Weepinbell
97,532,Victreebel
98,366,Tentacool
99,565,Tentacruel
100,384,Geodude
101,384,Geodude Alolan Geodude
102,474,Graveler
103,474,Graveler Alolan Graveler 
104,599,Golem
105,599,Golem Alolan Golem
106,434,Ponyta
107,434,Ponyta Galarian Ponyta
108,532,Rapidash
109,532,Rapidash Galarian Rapidash
110,414,Slowpoke
111,414,Slowpoke Galarian Slowpoke
112,573,Slowbro
113,699,Slowbro Mega Slowbro
114,554,Slowbro Galarian Slowbro
115,379,Magnemite
116,529,Magneton
117,380,Farfetch'd
118,429,Farfetch'd Galarian Farfetch'd
119,352,Doduo
120,513,Dodrio
121,369,Seel
122,523,Dewgong
123,415,Grimer
124,415,Grimer Alolan Grimer
125,595,Muk
126,595,Muk Alolan Muk
127,352,Shellder
128,579,Cloyster
129,355,Gastly
130,458,Haunter
131,565,Gengar
132,703,Gengar Mega Gengar
133,428,Onix
134,380,Drowzee
135,535,Hypno
136,407,Krabby
137,567,Kingler
138,340,Voltorb
139,340,Voltorb Hisuian Voltorb
140,501,Electrode
