poi_origem,poi_destino,tdeslocamento_s,tdeslocamento_min
1,2,118249.22,1970.82
1,3,136717.75,2278.63
1,4,121862.24,2031.04
1,5,129351.81,2155.86
1,6,107202.2,1786.7
1,7,126611.2,2110.19
1,8,130165.53,2169.43
1,9,246061.84,4101.03
1,10,235253.6,3920.89
1,11,206005.91,3433.43
1,12,226709.24,3778.49
1,13,62331.25,1038.85
1,14,50025.61,833.76
1,15,101170.38,1686.17
1,16,98031.28,1633.85
1,17,198743.72,3312.4
1,18,203197.24,3386.62
1,19,136181.47,2269.69
1,20,216283.79,3604.73
1,21,226110.19,3768.5
1,22,271469,4524.48
1,23,184664.43,3077.74
1,24,127877.22,2131.29
1,25,187523.78,3125.4
1,26,183932.26,3065.54
1,27,221261.66,3687.69
1,28,263963.97,4399.4
1,29,213740.82,3562.35
1,30,267886.27,4464.77
1,31,267293.52,4454.89
1,32,264364.86,4406.08
1,33,236180.81,3936.35
1,34,270375.08,4506.25
1,35,271694.17,4528.24
1,36,217217.47,3620.29
1,37,266522.56,4442.04
1,38,283395,4723.25
1,39,284883.85,4748.06
1,40,158194.45,2636.57
1,41,157703.3,2628.39
1,42,160509.42,2675.16
1,43,165900.29,2765
1,44,284768.76,4746.15
1,45,162791.09,2713.18
1,46,283194.94,4719.92
1,47,159664.93,2661.08
1,48,232513.52,3875.23
1,49,157457.24,2624.29
1,50,285982.06,4766.37
1,51,284143.07,4735.72
1,52,78463.08,1307.72
1,53,159101.56,2651.69
1,54,241715.63,4028.59
1,55,144399.44,2406.66
1,56,196283.47,3271.39
1,57,204172.37,3402.87
1,58,276884.96,4614.75
1,59,179883.33,2998.06
1,60,159080.27,2651.34
1,61,146692.36,2444.87
1,62,228677.43,3811.29
1,63,235313.52,3921.89
1,64,210540.45,3509.01
1,65,201998.96,3366.65
1,66,195860.42,3264.34
1,67,119370.01,1989.5
1,68,235737.87,3928.96
1,69,269859.54,4497.66
1,70,177107.78,2951.8
1,71,167852.17,2797.54
1,72,135482.33,2258.04
1,73,113536.56,1892.28
1,74,161819.93,2697
1,75,242734.86,4045.58
1,76,85719.85,1428.66
1,77,169521.98,2825.37
1,78,166160.85,2769.35
1,79,200208.48,3336.81
1,80,203972.04,3399.53
1,81,86446.9,1440.78
1,82,134708.16,2245.14
1,83,134867.66,2247.79
1,84,245394.8,4089.91
1,85,31762.8,529.38
1,86,145904.32,2431.74
1,87,179743.24,2995.72
1,88,96133.29,1602.22
1,89,121590.76,2026.51
1,90,6586.6,109.78
1,91,188583.19,3143.05
1,92,230772.75,3846.21
1,93,104559.47,1742.66
1,94,105694.96,1761.58
1,95,318568.14,5309.47
1,96,100766.3,1679.44
1,97,83629.16,1393.82
1,98,89726.99,1495.45
1,99,208779.65,3479.66
1,100,203948.37,3399.14
1,101,225171.09,3752.85
1,102,202623.08,3377.05
1,103,168822.23,2813.7
1,104,284529.22,4742.15
1,105,201423.98,3357.07
1,106,233846.89,3897.45
1,107,82632.93,1377.22
1,108,79547.74,1325.8
1,109,80362.9,1339.38
1,110,69937.33,1165.62
1,111,278185.34,4636.42
1,112,273245.94,4554.1
1,113,198042.9,3300.72
1,114,90450.06,1507.5
1,115,202193.02,3369.88
1,116,155254.42,2587.57
1,117,108108.42,1801.81
1,118,149199.62,2486.66
1,119,197889,3298.15
1,120,199906.25,3331.77
1,121,194814.73,3246.91
1,122,191211.93,3186.87
1,123,192568.45,3209.47
1,124,193543.75,3225.73
1,125,196956.7,3282.61
1,126,196719.9,3278.67
1,127,185876.42,3097.94
1,128,205888.84,3431.48
1,129,180020.36,3000.34
1,130,197508.13,3291.8
1,131,125489.44,2091.49
1,132,260872.86,4347.88
1,133,208488.4,3474.81
1,134,296691.61,4944.86
1,135,206484.97,3441.42
1,136,130477.85,2174.63
1,137,133178.96,2219.65
1,138,86507.11,1441.79
1,139,86093.1,1434.88
1,140,209909.99,3498.5
1,141,208967.7,3482.79
1,142,114868.38,1914.47
1,143,87484.73,1458.08
1,144,124126.74,2068.78
1,145,179134.16,2985.57
1,146,280385.89,4673.1
1,147,218136.48,3635.61
1,148,81792.59,1363.21
1,149,134273.35,2237.89
1,150,81884.41,1364.74
1,151,84317.93,1405.3
1,152,99712.23,1661.87
1,153,65746.14,1095.77
1,154,132595.34,2209.92
1,155,140918.53,2348.64
1,156,80222.43,1337.04
1,157,267926.8,4465.45
1,158,268018.2,4466.97
1,159,293603.97,4893.4
1,160,280751.5,4679.19
1,161,94338.68,1572.31
1,162,92684.05,1544.73
1,163,99965.84,1666.1
1,164,103430.73,1723.85
1,165,132005.84,2200.1
1,166,140590.85,2343.18
1,167,91235.49,1520.59
1,168,93488.48,1558.14
1,169,105472.5,1757.88
1,170,178047.7,2967.46
1,171,121367.21,2022.79
1,172,119762.78,1996.05
1,173,109541.44,1825.69
1,174,116491.62,1941.53
1,175,123524.85,2058.75
1,176,204395.42,3406.59
1,177,105603.74,1760.06
1,178,13526,225.43
1,179,90767.35,1512.79
1,180,305321.9,5088.7
1,181,263158.73,4385.98
1,182,235931.76,3932.2
1,183,240267.83,4004.46
1,184,199903.85,3331.73
1,185,271612.36,4526.87
1,186,262891.94,4381.53
1,187,100205.57,1670.09
1,188,346849.11,5780.82
1,189,327876.11,5464.6
1,190,325668.41,5427.81
1,191,317575.62,5292.93
1,192,184086.22,3068.1
1,193,192117.75,3201.96
1,194,228783.9,3813.07
1,195,238606.46,3976.77
1,196,248171.68,4136.19
1,197,249012.84,4150.21
1,198,259586.32,4326.44
1,199,260729.03,4345.48
1,200,272041.93,4534.03
1,201,348498.02,5808.3
1,202,40898.05,681.63
1,203,195704.57,3261.74
1,204,217918.73,3631.98
1,205,124390.06,2073.17
1,206,236050.97,3934.18
1,207,194159.96,3236
1,208,183599.16,3059.99
1,209,187847.06,3130.78
1,210,200052.32,3334.21
1,211,218546.57,3642.44
1,212,113551.69,1892.53
1,213,282979.33,4716.32
1,214,230129.24,3835.49
2,3,81997.63,1366.63
2,4,5804.98,96.75
2,5,74852.72,1247.55
2,6,31415.21,523.59
2,7,59077.31,984.62
2,8,67719.47,1128.66
2,9,176355.65,2939.26
2,10,164198.39,2736.64
2,11,243399.83,4056.66
2,12,266263.77,4437.73
2,13,56223.41,937.06
2,14,77249.44,1287.49
2,15,34252.06,570.87
2,16,29018.63,483.64
2,17,99328.85,1655.48
2,18,103107.6,1718.46
2,19,26409.19,440.15
2,20,98966.1,1649.43
2,21,108432.82,1807.21
2,22,166303.38,2771.72
2,23,87865.75,1464.43
2,24,30590.36,509.84
2,25,90107.76,1501.8
2,26,67280.86,1121.35
2,27,195409.99,3256.83
2,28,153154.7,2552.58
2,29,132871.83,2214.53
2,30,177078.17,2951.3
2,31,175377.19,2922.95
2,32,173990.73,2899.85
2,33,149764.07,2496.07
2,34,170904.34,2848.41
2,35,173065.15,2884.42
2,36,137554.91,2292.58
2,37,174617.58,2910.29
2,38,186481,3108.02
2,39,188041.94,3134.03
2,40,61980.51,1033.01
2,41,62050.73,1034.18
2,42,64276.43,1071.27
2,43,211319.45,3521.99
2,44,188171.09,3136.18
2,45,63128.39,1052.14
2,46,187444.81,3124.08
2,47,63157.62,1052.63
2,48,273383.45,4556.39
2,49,62493.89,1041.56
2,50,190099.16,3168.32
2,51,186843.69,3114.06
2,52,66716.02,1111.93
2,53,62404.65,1040.08
2,54,282275.25,4704.59
2,55,170679.23,2844.65
2,56,235683.92,3928.07
2,57,239327.76,3988.8
2,58,206469.84,3441.16
2,59,147712.51,2461.88
2,60,273137.42,4552.29
2,61,256942.31,4282.37
2,62,146002.4,2433.37
2,63,156110.15,2601.84
2,64,126405.67,2106.76
2,65,89564.71,1492.75
2,66,88457.45,1474.29
2,67,4501.34,75.02
2,68,155773.58,2596.23
2,69,152179.28,2536.32
2,70,111325.81,1855.43
2,71,253523.47,4225.39
2,72,71271.57,1187.86
2,73,60625.88,1010.43
2,74,248417.69,4140.29
2,75,138519.51,2308.66
2,76,136148.61,2269.14
2,77,61290.1,1021.5
2,78,82018.96,1366.98
2,79,103240.96,1720.68
2,80,89725.68,1495.43
2,81,132282.53,2204.71
2,82,21736.65,362.28
2,83,21314.82,355.25
2,84,132880.78,2214.68
2,85,133070.3,2217.84
2,86,263858.95,4397.65
2,87,126124.23,2102.07
2,88,192575.53,3209.59
2,89,39426.88,657.11
2,90,115361.51,1922.69
2,91,108765.59,1812.76
2,92,159717.75,2661.96
2,93,222775.85,3712.93
2,94,24251.05,404.18
2,95,217991.89,3633.2
2,96,217508.34,3625.14
2,97,199258.12,3320.97
2,98,206624.54,3443.74
2,99,142632.18,2377.2
2,100,321186.24,5353.1
2,101,138664.83,2311.08
2,102,99485.55,1658.09
2,103,82683.47,1378.06
2,104,206314.31,3438.57
2,105,318260.25,5304.34
2,106,125124.05,2085.4
2,107,188218.39,3136.97
2,108,193099.48,3218.32
2,109,192200.12,3203.34
2,110,78158.27,1302.64
2,111,325910.31,5431.84
2,112,320801.96,5346.7
2,113,235875.15,3931.25
2,114,130635.69,2177.26
2,115,99674.36,1661.24
2,116,109686.63,1828.11
2,117,11129.51,185.49
2,118,108660.13,1811
2,119,82257.42,1370.96
2,120,84099.77,1401.66
2,121,78948.56,1315.81
2,122,76676.02,1277.93
2,123,79788.33,1329.81
2,124,81140.51,1352.34
2,125,85364.28,1422.74
2,126,84643.69,1410.73
2,127,71673.09,1194.55
2,128,90585.54,1509.76
2,129,66910.48,1115.17
2,130,89203.25,1486.72
2,131,128452.64,2140.88
2,132,156136.97,2602.28
2,133,260479.31,4341.32
2,134,221264.3,3687.74
2,135,96233.54,1603.89
2,136,76567.81,1276.13
2,137,146030.89,2433.85
2,138,115678.41,1927.97
2,139,59996.89,999.95
2,140,93385.12,1556.42
2,141,92491.85,1541.53
2,142,6164.19,102.74
2,143,205030.11,3417.17
2,144,62743.96,1045.73
2,145,61429.51,1023.83
2,146,184228.07,3070.47
2,147,102387.8,1706.46
2,148,199099.87,3318.33
2,149,70953.98,1182.57
2,150,126510.31,2108.51
2,151,58230.26,970.5
2,152,148688,2478.13
2,153,77293.8,1288.23
2,154,16168.47,269.47
2,155,37554.12,625.9
2,156,98199.48,1636.66
2,157,151075.38,2517.92
2,158,151281.85,2521.36
2,159,186389.09,3106.48
2,160,197611.84,3293.53
2,161,164746.44,2745.77
2,162,162004.64,2700.08
2,163,166356.73,2772.61
