qoeid,valor_qoe,downlik,bep,latencia,conexao,atencao
1,3.88857292451066,0.4318182,0.250959,0.224247,0.3253025,11.9537136188952
2,9.51014547728584,0.664122,0.007134,0.152312,0.786775,12.0875033869732
3,12.2360061113645,0.688113,0.004032,0.13242312,0.9687883,12.6302166441982
4,9.10723083414108,0.832061,0.00356,0.145941,0.970775,9.38140231685105
5,5.96142735006255,0.472192,0.00431,0.146802,0.551052,10.8182664250607
6,13.9802637022845,0.664122,0.005473,0.142312,0.770079,18.1543240398511
7,11.7053750277554,0.496183,0.003505,0.152389,0.583338,20.0661966608646
8,7.52768684855366,0.712105,0.011687,0.139258,0.817647,9.20652414618247
9,17.1524120211506,0.640131,0.011419,0.155462,0.74931,22.8909423618403
10,20.5450566536763,0.664122,0.007279,0.154731,0.779974,26.3406942458035
11,27.6589297096692,0.904035,0.008583,0.169294,1.078932,25.6354707337156
12,6.80192158920333,0.61614,0.0107,0.146353,0.71405,9.52583375002217
13,22.814358506888,0.832061,0.011164,0.145146,0.96247,23.7039684425364
14,14.8557866296012,0.520174,0.005988,0.165412,0.619539,23.9787755566658
15,9.19985238907873,0.61614,0.006891,0.154226,0.723472,12.7162521688175
16,17.7921914570424,0.736096,0.014426,0.147799,0.851299,20.9000497557761
17,12.6888360937478,0.784079,0.010802,0.143205,0.905244,14.0170341849797
18,17.969632855871,0.688113,0.013615,0.14672,0.795454,22.5904110808054
19,7.15998282202373,0.856052,0.011077,0.153778,1.000411,7.15704127805845
20,17.2797364300915,0.688113,0.000043,0.146943,0.806609,21.4226923206801
21,4.69825086894873,0.520174,0.00767,0.170828,0.62253,7.54702724197826
22,6.87052366210597,0.61614,0.014946,0.134851,0.701533,9.79358584999703
23,12.2446474649574,0.640131,0.010154,0.150935,0.746269,16.4078200554457
24,25.0316669287029,0.928026,0.005229,0.139892,1.073323,23.3216533407957
25,8.32416243942645,0.544166,0.012436,0.151533,0.633376,13.1425289866153
26,15.2308118687987,0.80807,0.006467,0.150488,0.945065,16.1161527183831
27,15.7330469483818,0.856052,0.004206,0.1393,0.990417,15.8852755439192
28,11.4069235327416,0.712105,0.009637,0.158446,0.838023,13.6117069969936
29,10.8387700164662,0.736096,0.014638,0.159162,0.862617,12.5649854065781
30,21.5973902275466,0.784079,0.00497,0.149929,0.917784,23.5321058414034
31,8.29911784953638,0.712105,0.002619,0.146706,0.832351,9.97069487456179
32,6.2179122169385,0.592148,0.005657,0.141368,0.68574,9.06744862037871
33,16.1035937301829,0.61614,0.008694,0.16007,0.727184,22.145143086458
34,13.0850976501571,0.80807,0.001472,0.135653,0.933514,14.0170341849797
35,22.4381626632427,0.760087,0.015043,0.139095,0.869612,25.8024988882889
36,24.2532514883124,0.856052,0.009061,0.14993,0.997913,24.3039738818037
37,9.81159113087302,0.640131,0.012253,0.160879,0.753511,13.021165093639
38,12.6385094161649,0.80807,0.003957,0.14081,0.936781,13.491423733151
39,14.7280969891662,0.640131,0.007919,0.142374,0.740489,19.8896904466727
40,20.8764597952176,0.61614,0.002139,0.149214,0.722652,28.8886764240846
41,19.1445221806274,0.640131,0.00563,0.161127,0.758788,25.2303966069935
42,8.68919314723437,0.592148,0.007002,0.15255,0.693849,12.5231760040504
43,12.867465636259,0.496183,0.008402,0.147859,0.577386,22.2857250370792
44,12.8503684554562,0.952017,0.006362,0.141075,0.901332,14.2570866844361
45,14.5845373519143,1,0.013083,0.149875,0.9160908,15.9204058723374
46,10.5126482954771,0.6975419,0.00053,0.20698,0.746537,14.0818851516765
47,6.25073656748874,0.532961,0.007414,0.166896,0.634986,9.84389666463314
48,31.0729329869441,0.827933,0.004668,0.160361,0.981455,31.660068965917
49,25.4944931611851,0.925419,0.004476,0.16424,0.89116,28.6082108276685
50,12.3724816602113,0.68754,0.008461,0.14236,0.9156126,13.5127909557069
